area,row,col,x,y
3,13,11,1067.3,552.0
3,13,10,1086.0,552.0
3,13,9,1104.7,552.0
3,13,8,1123.3,552.0
3,13,7,1142.0,552.0
3,13,6,1160.7,552.0
3,13,5,1179.3,552.0
3,13,4,1198.0,552.0
3,13,3,1216.7,552.0
3,13,2,1235.3,552.0
3,13,1,1254.0,552.0
3,14,13,1030.0,529.0
3,14,12,1048.7,529.0
3,14,11,1067.3,529.0
3,14,10,1086.0,529.0
3,14,9,1104.7,529.0
3,14,8,1123.3,529.0
3,14,7,1142.0,529.0
3,14,6,1160.7,529.0
3,14,5,1179.3,529.0
3,14,4,1198.0,529.0
3,14,3,1216.7,529.0
3,14,2,1235.3,529.0
3,14,1,1254.0,529.0
3,15,13,1030.0,506.0
3,15,12,1048.7,506.0
3,15,11,1067.3,506.0
3,15,10,1086.0,506.0
3,15,9,1104.7,506.0
3,15,8,1123.3,506.0
3,15,7,1142.0,506.0
3,15,6,1160.7,506.0
3,15,5,1179.3,506.0
3,15,4,1198.0,506.0
3,15,3,1216.7,506.0
3,15,2,1235.3,506.0
3,15,1,1254.0,506.0
3,16,13,1030.0,463.0
3,16,12,1048.7,463.0
3,16,11,1067.3,463.0
3,16,10,1086.0,463.0
3,16,9,1104.7,463.0
3,16,8,1123.3,463.0
3,16,7,1142.0,463.0
3,16,6,1160.7,463.0
3,16,5,1179.3,463.0
3,16,4,1198.0,463.0
3,16,3,1216.7,463.0
3,16,2,1235.3,463.0
3,16,1,1254.0,463.0
2,1,30,656.0,990.0
2,1,29,673.6,990.0
2,1,28,691.2,990.0
2,1,27,708.8,990.0
2,1,26,726.3,990.0
2,1,25,743.9,990.0
2,1,24,761.5,990.0
2,1,23,779.1,990.0
2,1,22,796.7,990.0
2,1,21,814.3,990.0
2,1,20,831.9,990.0
2,1,19,849.4,990.0
2,1,18,867.0,990.0
2,1,17,884.6,990.0
2,1,16,902.2,990.0
2,1,15,919.8,990.0
2,1,14,937.4,990.0
2,1,13,955.0,990.0
2,1,12,972.6,990.0
2,1,11,990.1,990.0
2,1,10,1007.7,990.0
2,1,9,1025.3,990.0
2,1,8,1042.9,990.0
2,1,7,1060.5,990.0
2,1,6,1078.1,990.0
2,1,5,1095.7,990.0
