area,row,col,x,y
20,7,15,950.7,794.0
20,7,14,966.2,794.0
20,7,13,981.6,794.0
20,7,12,997.1,794.0
20,7,11,1012.5,794.0
20,7,10,1028.0,794.0
20,7,9,1043.4,794.0
20,7,8,1058.9,794.0
20,7,7,1074.3,794.0
20,7,6,1089.8,794.0
20,7,5,1105.2,794.0
20,7,4,1120.7,794.0
20,7,3,1136.1,794.0
20,7,2,1151.6,794.0
20,7,1,1167.0,794.0
20,8,30,719.0,759.0
20,8,29,734.4,759.0
20,8,28,749.9,759.0
20,8,27,765.3,759.0
20,8,26,780.8,759.0
20,8,25,796.2,759.0
20,8,24,811.7,759.0
20,8,23,827.1,759.0
20,8,22,842.6,759.0
20,8,21,858.0,759.0
20,8,20,873.5,759.0
20,8,19,888.9,759.0
20,8,18,904.4,759.0
20,8,17,919.8,759.0
20,8,16,935.3,759.0
20,8,15,950.7,759.0
20,8,14,966.2,759.0
20,8,13,981.6,759.0
20,8,12,997.1,759.0
20,8,11,1012.5,759.0
20,8,10,1028.0,759.0
20,8,9,1043.4,759.0
20,8,8,1058.9,759.0
20,8,7,1074.3,759.0
20,8,6,1089.8,759.0
20,8,5,1105.2,759.0
20,8,4,1120.7,759.0
20,8,3,1136.1,759.0
20,8,2,1151.6,759.0
20,8,1,1167.0,759.0
20,9,29,719.0,682.0
20,9,28,735.0,682.0
20,9,27,751.0,682.0
20,9,26,767.0,682.0
20,9,25,783.0,682.0
20,9,24,799.0,682.0
20,9,23,815.0,682.0
20,9,22,831.0,682.0
20,9,21,847.0,682.0
20,9,20,863.0,682.0
20,9,19,879.0,682.0
20,9,18,895.0,682.0
20,9,17,911.0,682.0
20,9,16,927.0,682.0
20,9,15,943.0,682.0
20,9,14,959.0,682.0
20,9,13,975.0,682.0
20,9,12,991.0,682.0
20,9,11,1007.0,682.0
20,9,10,1023.0,682.0
20,9,9,1039.0,682.0
20,9,8,1055.0,682.0
20,9,7,1071.0,682.0
20,9,6,1087.0,682.0
20,9,5,1103.0,682.0
20,9,4,1119.0,682.0
20,9,3,1135.0,682.0
20,9,2,1151.0,682.0
20,9,1,1167.0,682.0
20,10,29,719.0,647.0
20,10,28,735.0,647.0
20,10,27,751.0,647.0
20,10,26,767.0,647.0
20,10,25,783.0,647.0
20,10,24,799.0,647.0
20,10,23,815.0,647.0
20,10,22,831.0,647.0
20,10,21,847.0,647.0
20,10,20,863.0,647.0
20,10,19,879.0,647.0
20,10,18,895.0,647.0
20,10,17,911.0,647.0
20,10,16,927.0,647.0
20,10,15,943.0,647.0
20,10,14,959.0,647.0
20,10,13,975.0,647.0
20,10,12,991.0,647.0
20,10,11,1007.0,647.0
20,10,10,1023.0,647.0
20,10,9,1039.0,647.0
20,10,8,1055.0,647.0
20,10,7,1071.0,647.0
20,10,6,1087.0,647.0
20,10,5,1103.0,647.0
20,10,4,1119.0,647.0
20,10,3,1135.0,647.0
20,10,2,1151.0,647.0
20,10,1,1167.0,647.0
20,11,29,719.0,628.0
20,11,28,735.0,628.0
20,11,27,751.0,628.0
20,11,26,767.0,628.0
20,11,25,783.0,628.0
20,11,24,799.0,628.0
20,11,23,815.0,628.0
20,11,22,831.0,628.0
20,11,21,847.0,628.0
20,11,20,863.0,628.0
20,11,19,879.0,628.0
20,11,18,895.0,628.0
